lifetable	age	male	female	source
us_2017	4	72.6521225	77.58621216	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	5	71.66353607	76.5969162	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	6	70.67460632	75.60647583	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	7	69.68431854	74.61495972	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	8	68.69293213	73.62264252	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	9	67.70045471	72.62971497	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	10	66.70706177	71.63637543	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	11	65.71327972	70.64292145	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	12	64.72031403	69.64979553	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	13	63.73004913	68.65759277	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	14	62.74471283	67.66699219	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	15	61.76596832	66.6785202	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	16	60.79423904	65.69242096	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	17	59.82948685	64.70874023	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	18	58.87208557	63.7275238	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	19	57.92224884	62.74875641	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	20	56.97981262	61.77235794	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	21	56.04467392	60.79837036	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	22	55.11618805	59.82676315	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	23	54.19291687	58.8572197	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	24	53.27303696	57.88933182	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	25	52.35516357	56.92279053	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	26	51.43874359	55.95742798	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	27	50.52362442	54.99325943	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	28	49.609478	54.03043365	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	29	48.69614029	53.06924438	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	30	47.78355026	52.10995102	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	31	46.8716011	51.15274429	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	32	45.96022415	50.19759369	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	33	45.04946136	49.24432755	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	34	44.13936996	48.29259872	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	35	43.22996521	47.3421402	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	36	42.32155991	46.39309311	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	37	41.41424561	45.44566345	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	38	40.50761032	44.49979019	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	39	39.60116577	43.55548096	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	40	38.69483566	42.61292267	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	41	37.78912735	41.67256546	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	42	36.88504028	40.73495102	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	43	35.98358154	39.80049515	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	44	35.08570099	38.86940384	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	45	34.19207001	37.94180298	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	46	33.30294418	37.01776886	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	47	32.41882324	36.09764481	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	48	31.54070282	35.18207169	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	49	30.66993332	34.27191544	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	50	29.80773926	33.36797333	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	51	28.95437241	32.47034836	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	52	28.11003685	31.57911301	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	53	27.2757225	30.69489288	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	54	26.45222092	29.81816864	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	55	25.6396389	28.94895744	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	56	24.83734703	28.08701515	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	57	24.04461861	27.23180199	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	58	23.26123047	26.38270378	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	59	22.48738289	25.53923607	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	60	21.72337914	24.70125389	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	61	20.9696331	23.86892319	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
